Date Occurred,MOTOR VEHICLE THEFT,THEFT,BURGLARY,MISC,FRAUD,LARCENY-THEFT,AGGRAVATED ASSAULT,RAPE,ATTEMPT,ARSON,MURDER AND NON-NEGLIGENT MANSLAUGHTER,DRUG OFFENSE
2016-01-28,54,72,88,195,9,52,97,5,10,1,1,0
2016-01-29,66,91,111,174,9,53,132,8,19,1,2,0
2016-01-30,64,76,95,144,4,43,124,1,11,2,0,0
2016-01-31,60,62,69,167,0,49,114,6,5,2,1,0
2016-02-01,58,126,102,337,17,51,119,29,10,0,0,0
2016-02-02,60,108,73,184,11,56,94,7,6,0,0,0
2016-02-03,45,97,93,190,9,52,100,7,11,1,0,0
2016-02-04,50,75,86,185,13,40,89,7,10,1,0,0
2016-02-05,58,88,89,189,17,42,137,10,17,0,1,0
2016-02-06,34,88,79,169,7,41,126,7,3,2,2,1
2016-02-07,45,74,88,178,5,35,170,6,9,0,1,0
2016-02-08,37,84,76,169,9,40,124,16,12,1,2,0
2016-02-09,54,80,85,171,9,57,126,5,8,0,1,0
2016-02-10,51,73,78,179,9,48,134,5,5,1,0,0
2016-02-11,44,82,77,188,7,52,99,7,4,1,0,0
2016-02-12,39,71,93,184,8,39,122,11,8,2,0,0
2016-02-13,30,70,87,163,2,50,138,5,12,3,1,0
2016-02-14,37,70,48,164,1,35,161,5,5,1,1,0
2016-02-15,39,75,62,178,3,50,133,8,7,0,0,0
2016-02-16,35,80,75,199,12,50,115,9,11,1,0,0
2016-02-17,47,92,80,173,7,48,112,4,14,3,0,0
2016-02-18,43,78,78,179,12,55,118,4,12,0,1,0
2016-02-19,53,89,96,174,10,54,136,8,5,1,0,0
2016-02-20,49,86,83,176,4,50,138,8,9,0,2,0
2016-02-21,45,79,66,165,2,52,170,8,8,0,2,0
2016-02-22,44,76,80,171,12,40,119,9,11,1,1,0
2016-02-23,31,77,90,160,7,52,111,4,12,1,3,0
